b0,b1,b2,candidate_seed,weighted_f1,macro_f1,ordinal_mae,quadratic_weighted_kappa,first_generation,seconds,wavelengths_nm
188,292,144,2657999685,0.7445831347840667,0.7317422918762464,0.36875,0.7416777629826898,0,203.2928502089344,"[646.91, 788.65, 587.69]"
338,160,293,1527803731,0.6907493655769518,0.6921580335373438,0.5125,0.593169261677549,0,205.5039445552975,"[852.13, 609.17, 790.02]"
43,416,242,1130383281,0.6907930299568715,0.6611691097145436,0.5125,0.5950794464377243,0,203.66753947082907,"[453.45, 960.9, 720.19]"
90,367,247,1896262385,0.7231987292058363,0.7097049536877688,0.4875,0.5958600295712173,0,205.22638471983373,"[515.63, 892.41, 727.01]"
12,369,249,2976847651,0.6271821756225426,0.5979383002318782,0.5875,0.5288839035333708,1,203.93526659812778,"[412.72, 895.19, 729.74]"
435,166,228,1068148811,0.7605084574836329,0.7546295842032485,0.36875,0.7243994943109988,1,204.0948211438954,"[987.61, 617.24, 701.13]"
175,285,128,3772854141,0.7125176723860934,0.7134478825268299,0.4875,0.6069868995633187,1,206.73738198215142,"[629.37, 779.03, 566.27]"
169,222,209,1342687943,0.7093815917543665,0.6930396306857374,0.46875,0.6203934607924633,1,203.9437098838389,"[621.28, 692.97, 675.33]"
88,388,174,1339131191,0.7246472158657513,0.735654749098685,0.44375,0.662644668800788,1,206.47666133893654,"[512.97, 921.69, 628.02]"
225,210,133,4266450205,0.7833562271062271,0.7727411477411477,0.3125,0.7758081334723671,1,203.74098074110225,"[697.05, 676.68, 572.96]"
207,159,403,2122799364,0.7416684279840902,0.7259422350664697,0.4125,0.6721311475409836,1,205.90703463740647,"[672.62, 607.83, 942.68]"
274,344,365,160395986,0.7774230802440709,0.7661052987566198,0.36875,0.7249939157945973,1,206.9369314541109,"[763.94, 860.45, 889.63]"
306,291,436,2310794473,0.6655650432215897,0.6549303426912535,0.54375,0.6035655641566972,1,204.16662775725126,"[807.92, 787.27, 989.02]"
272,261,0,492077628,0.5877865270755968,0.565744013442103,0.65,0.5270599707459775,1,206.85115357628092,"[761.2, 746.14, 397.01]"
258,67,36,4193891266,0.6867788039308131,0.6777802430102955,0.56875,0.5139402911423636,1,202.33705396577716,"[742.03, 485.14, 444.23]"
383,213,165,1487871721,0.6677959540459542,0.6552322677322677,0.46875,0.6646096055808962,1,201.66156287072226,"[914.71, 680.75, 615.9]"
243,275,197,123303782,0.7745835211464632,0.7613167125189757,0.425,0.6451142440447253,1,206.0018948689103,"[721.56, 765.31, 659.08]"
202,188,304,2446413952,0.6915813338362701,0.6736995757395898,0.54375,0.5534172218110043,1,204.94861812330782,"[665.84, 646.91, 805.16]"
207,208,101,2138781390,0.6994720342733899,0.6743623664354224,0.4875,0.6155741744701824,1,204.90158481989056,"[672.62, 673.97, 530.25]"
0,112,447,209503972,0.6116957095963482,0.6008216007590911,0.60625,0.5142022829838067,1,202.50142462691292,"[397.01, 544.9, 1004.52]"
282,428,60,3071736556,0.6948915314650934,0.699150893149787,0.50625,0.6029962546816479,2,202.43927718512714,"[774.91, 977.76, 475.88]"
362,13,440,2573971132,0.47116828782176884,0.4547030668470542,0.8875,0.3110047846889952,2,204.0628971559927,"[885.45, 414.03, 994.65]"
238,141,23,3809831076,0.6025395574022891,0.5898708935428222,0.65,0.4706498951781971,2,204.73182312119752,"[714.74, 583.67, 427.15]"
275,316,239,1059492170,0.78733783955896,0.7833266619360395,0.375,0.7063142437591776,2,205.47333606006578,"[765.31, 821.71, 716.1]"
447,210,172,965183790,0.7547335610667659,0.7427023525567593,0.44375,0.6289014499877119,2,204.3487837347202,"[1004.52, 676.68, 625.32]"
152,212,125,2879938900,0.7493164730006836,0.7510537707906129,0.41875,0.6557161629434953,2,205.84237569896504,"[598.42, 679.4, 562.26]"
